X;Y;Z;phi
m;m;m;	
R+;R+;D;K
;;; 
Longitude;Latitude;Depth; 
;;; 
14.3;1;-3.00;2
62.9;1;-12.96;3
31.5;1;-11.16;5
62.9;1;-14.46;8
31.5;1;-6.45;5
50;1;-14.31;8
50;1;-2.73;5
22.4;1;-13.29;8
22.4;1;-5.40;3
46.9;1;-1.44;2
5.7;1;-7.86;4
37;1;-12.60;8
37;1;-5.07;5
46.9;1;-4.35;5
50;1;-1.98;3
62.9;1;-4.29;5
72.9;1;-8.13;5
84;1;-1.75;1
22.4;1;-3.99;3
46.9;1;-8.67;5
91.9;1;-10.98;7
62.9;1;-9.87;5
46.9;1;-11.94;7
31.5;1;-4.56;4
22.4;1;-10.35;5
72.9;1;-9.75;4
46.9;1;-13.50;8
46.9;1;-13.47;8
50;1;-13.59;8
62.9;1;-13.56;8
46.9;1;-12.24;7
72.9;1;-13.38;8
84;1;-12.66;8
5.7;1;-9.21;5
72.9;1;-7.14;5
84;1;-13.05;8
46.9;1;-3.66;5
46.9;1;-10.35;5
46.9;1;-5.46;4
31.5;1;-7.71;3
84;1;-8.07;5
62.9;1;-13.26;8
84;1;-3.30;5
37;1;-9.72;4
37;1;-12.18;7
46.9;1;-14.01;8
84;1;-13.14;8
37;1;-7.80;3
14.3;1;-7.47;3
50;1;-11.97;7
14.3;1;-13.83;8
62.9;1;-3.03;4
62.9;1;-12.03;7
22.4;1;-6.54;5
37;1;-7.74;3
91.9;1;-14.13;8
37;1;-7.56;3
46.9;1;-13.08;8
37;1;-9.54;5
22.4;1;-5.91;3
14.3;1;-7.23;3
91.9;1;-6.39;5
50;1;-12.00;7
84;1;-8.40;5
62.9;1;-11.73;7
62.9;1;-2.13;4
5.7;1;-4.02;3
46.9;1;-14.58;8
46.9;1;-2.58;5
91.9;1;-7.14;5
62.9;1;-8.67;3
37;1;-9.90;4
62.9;1;-12.87;3
22.4;1;-2.40;2
91.9;1;-10.02;5
62.9;1;-10.11;4
5.7;1;-14.10;8
5.7;1;-6.15;5
37;1;-4.86;5
72.9;1;-5.97;5
22.4;1;-7.14;5
5.7;1;-14.34;8
84;1;-10.26;5
91.9;1;-14.28;8
31.5;1;-9.72;5
91.9;1;-3.63;3
62.9;1;-12.69;3
31.5;1;-8.61;3
22.4;1;-5.67;3
50;1;-1.02;2
14.3;1;-9.90;3
31.5;1;-2.28;3
72.9;1;-4.59;5
31.5;1;-6.57;5
62.9;1;-12.09;7
22.4;1;-11.70;5
46.9;1;-4.86;4
31.5;1;-2.43;3
37;1;-5.31;3
14.3;1;-1.35;1
84;1;-13.02;8
84;1;-9.66;4
62.9;1;-14.07;8
91.9;1;-10.47;5
72.9;1;-10.95;7
72.9;1;-14.07;8
46.9;1;-6.51;5
84;1;-8.97;3
91.9;1;-4.65;5
14.3;1;-12.39;7
14.3;1;-8.40;5
5.7;1;-12.48;8
14.3;1;-7.59;3
84;1;-7.02;4
37;1;-13.92;8
62.9;1;-8.61;3
50;1;-3.30;5
91.9;1;-11.91;7
31.5;1;-2.73;3
22.4;1;-2.61;2
46.9;1;-5.76;5
84;1;-10.08;5
5.7;1;-2.43;2
46.9;1;-7.56;4
72.9;1;-13.26;8
22.4;1;-0.10;1
62.9;1;-1.59;3
31.5;1;-13.47;8
91.9;1;-14.04;8
22.4;1;-7.26;5
31.5;1;-12.72;8
91.9;1;-4.29;5
31.5;1;-4.41;4
62.9;1;-5.85;5
50;1;-11.04;5
46.9;1;-8.82;5
37;1;-13.23;8
22.4;1;-12.96;3
84;1;-12.51;2
50;1;-10.65;5
5.7;1;-14.88;8
37;1;-13.41;8
84;1;-13.26;8
84;1;-4.92;5
46.9;1;-0.75;2
50;1;-0.81;2
22.4;1;-5.34;3
72.9;1;-4.62;5
14.3;1;-10.98;5
72.9;1;-12.12;7
46.9;1;-6.21;5
62.9;1;-6.00;5
5.7;1;-10.11;5
62.9;1;-3.24;4
37;1;-9.12;5
22.4;1;-14.10;8
5.7;1;-8.70;5
72.9;1;-8.10;5
31.5;1;-2.01;3
46.9;1;-6.81;3
46.9;1;-6.99;3
91.9;1;-7.35;5
31.5;1;-14.40;8
62.9;1;-5.04;5
37;1;-10.11;4
50;1;-14.64;8
