X;Y;Z;phi
m;m;m;
R+;R+;D;R+
;;;
Longitude;Latitude;Depth;
;;;
5.7;1;1.68;0.44
5.7;1;1.48;0.76
5.7;1;1.28;0.57
5.7;1;1.08;0.79
5.7;1;0.88;0.33
5.7;1;0.68;0.43
5.7;1;0.48;0.58
5.7;1;0.28;0.38
5.7;1;0.08;0.46
5.7;1;-0.12;0.48
5.7;1;-0.29;0.46
5.7;1;-0.32;0.47
5.7;1;-0.35;0.40
5.7;1;-0.38;0.42
5.7;1;-0.41;0.43
5.7;1;-0.44;0.49
5.7;1;-0.47;0.49
5.7;1;-0.50;0.47
5.7;1;-0.53;0.47
5.7;1;-0.56;0.45
5.7;1;-0.59;0.41
5.7;1;-0.62;0.45
5.7;1;-0.65;0.40
5.7;1;-0.68;0.48
5.7;1;-0.71;0.45
5.7;1;-0.77;0.43
5.7;1;-0.80;0.40
5.7;1;-0.83;0.42
5.7;1;-0.86;0.41
5.7;1;-0.89;0.41
5.7;1;-0.92;0.48
5.7;1;-0.95;0.47
5.7;1;-0.98;0.42
5.7;1;-1.01;0.46
5.7;1;-1.04;0.43
5.7;1;-1.07;0.47
5.7;1;-1.10;0.44
5.7;1;-1.13;0.50
5.7;1;-1.16;0.47
5.7;1;-1.19;0.41
5.7;1;-1.22;0.48
5.7;1;-1.25;0.47
5.7;1;-1.28;0.44
5.7;1;-1.31;0.46
5.7;1;-1.34;0.46
5.7;1;-1.37;0.45
5.7;1;-1.40;0.43
5.7;1;-1.43;0.40
5.7;1;-1.46;0.43
5.7;1;-1.49;0.48
5.7;1;-1.52;0.46
5.7;1;-1.55;0.49
5.7;1;-1.58;0.43
5.7;1;-1.61;0.41
5.7;1;-1.67;0.41
5.7;1;-1.70;0.49
5.7;1;-1.73;0.44
5.7;1;-1.76;0.47
5.7;1;-1.79;0.46
5.7;1;-1.82;0.49
5.7;1;-1.85;0.43
5.7;1;-1.88;0.40
5.7;1;-1.91;0.47
5.7;1;-1.94;0.46
5.7;1;-1.97;0.48
5.7;1;-2.00;0.44
5.7;1;-2.03;0.41
5.7;1;-2.06;0.45
5.7;1;-2.09;0.48
5.7;1;-2.12;0.41
5.7;1;-2.15;0.48
5.7;1;-2.18;0.49
5.7;1;-2.21;0.45
5.7;1;-2.24;0.48
5.7;1;-2.27;0.42
5.7;1;-2.30;0.41
5.7;1;-2.33;0.46
5.7;1;-2.36;0.41
5.7;1;-2.39;0.42
5.7;1;-2.42;0.48
5.7;1;-2.45;0.41
5.7;1;-2.51;0.41
5.7;1;-2.54;0.43
5.7;1;-2.57;0.42
5.7;1;-2.60;0.47
5.7;1;-2.63;0.46
5.7;1;-2.66;0.45
5.7;1;-2.69;0.41
5.7;1;-2.72;0.43
5.7;1;-2.75;0.45
5.7;1;-2.81;0.42
5.7;1;-2.84;0.45
5.7;1;-2.87;0.48
5.7;1;-2.90;0.49
5.7;1;-2.93;0.50
5.7;1;-2.96;0.49
5.7;1;-2.99;0.41
5.7;1;-3.02;0.47
5.7;1;-3.05;0.46
